Actual,Predicted
5230.0,5235.3
4789.1,4929.3
5038.4,4971.3
5211.9,5196.4
5564.9,5480.4
5200.2,5206.65
5334.7,5383.8
5514.9,5550.1
6877.5,6956.8
5216.4,5212.5
5348.5,5367.6
5156.1,5225.0
6872.4,6973.6
6089.6,6110.4
4926.5,4970.4
6041.0,6043.6
6742.1,6688.3
6632.7,6674.9
5563.0,5523.2
5971.4,5981.9
6797.8,6766.4
5818.8,5758.2
6037.7,6052.3
6026.2,5960.2
5792.3,5711.8
5970.9,5940.2
7020.8,6944.6
6598.5,6671.9
4717.2,4724.8
5930.0,5908.9
6493.9,6514.4
5388.1,5375.3
6394.3,6285.1
6477.8,6593.9
5166.0,5090.5
6142.8,6085.4
5956.0,6073.3
6564.6,6606.4
5541.7,5638.6
5478.7,5508.3
6051.8,6012.9
5024.0,4992.3
4854.0,4754.0
5542.2,5652.4
5424.7,5430.1
6371.5,6322.0
6406.4,6426.2
5876.0,5865.9
7236.7,7083.6
5157.3,5299.1
5383.6,5390.2
5143.7,5206.6
5676.3,5819.9
5566.6,5642.1
5380.5,5498.0
6127.7,6100.6
5340.7,5430.4
5233.5,5211.7
6837.8,6986.1
4923.3,5001.7
6602.4,6708.1
6902.1,6856.0
6935.8,7140.4
5384.1,5389.6
6807.3,6799.0
5487.1,5652.4
6609.4,6605.0
5082.7,5069.6
6514.6,6583.5
5307.4,5401.7
5924.1,5828.1
4823.0,4853.5
6658.8,6691.3
6886.2,6687.3
5576.4,5591.9
6075.0,6054.9
5461.2,5394.3
5804.5,5650.8
6493.8,6468.8
5122.4,5181.1
6800.4,6715.7
6573.2,6574.4
6048.0,6051.8
5668.6,5659.3
5626.4,5695.8
6171.9,6240.4
6719.8,6694.1
7201.2,7160.8
5009.9,5106.2
6875.0,6909.0
6399.5,6247.1
5353.6,5570.7
4850.6,4849.5
6942.0,6949.8
6266.8,6218.7
7264.0,7257.3
4800.7,4858.3
6016.8,5794.2
6435.4,6494.6
5519.8,5550.2
6676.6,6721.3
6652.8,6592.4
5544.1,5572.4
5256.5,5231.4
4982.6,5028.4
5468.2,5502.6
4998.2,5043.5
6172.3,6396.6
7002.4,7082.1
6611.9,6637.1
5573.0,5580.7
4817.0,4775.0
6331.1,6317.7
6262.4,6196.9
6725.8,6662.9
5277.5,5201.1
6353.9,6379.9
5993.8,6026.9
6717.8,6701.6
6442.0,6373.4
4762.9,4727.2
5065.4,5091.0
5796.5,5818.2
6539.9,6434.5
4568.8,4533.0
5340.8,5304.0
6499.9,6479.4
6172.9,6240.4
5402.4,5424.7
6199.1,6143.3
5663.7,5477.7
6327.1,6245.6
5143.1,5240.0
6225.8,6081.3
5274.2,5257.3
6369.6,6329.6
7031.4,7258.2
6610.3,6526.8
6438.1,6413.5
5983.2,5880.7
6783.5,6880.4
6989.0,6944.5
6461.5,6470.5
5400.0,5442.4
7276.6,7188.4
6698.6,6605.8
6975.4,6973.8
6846.3,6919.7
6509.4,6530.1
7404.9,7405.0
6829.6,6869.1
5866.9,5819.8
6979.6,6890.0
4903.5,4897.1
6047.6,5994.0
6561.4,6583.5
5296.5,5349.5
6886.1,6894.9
7062.0,7015.0
7082.2,7025.5
4827.4,4782.5
6775.2,6764.1
6023.4,5959.3
6901.9,6832.1
5552.6,5468.9
5859.4,5817.2
5628.3,5666.2
6483.9,6479.5
5591.9,5632.5
6528.1,6434.5
7104.4,7148.5
6560.2,6513.2
6972.1,6921.8
6465.8,6573.8
5823.6,5744.9
5731.2,5772.0
6314.7,6365.6
6802.2,6851.3
5654.6,5590.6
6443.4,6512.3
7373.3,7177.3
7022.6,7019.3
6007.1,6033.9
5924.3,5819.4
6211.6,6262.3
5514.4,5495.5
6033.3,6038.1
6619.6,6596.6
4948.2,5056.3
6415.6,6415.6
4719.5,4703.1
6754.8,6724.3
5450.5,5402.2
6758.8,6750.9
6104.7,6124.8
6819.4,7005.1
5875.2,5797.9
6838.4,7089.8
4845.3,4875.8
5633.5,5646.5
5746.6,5740.7
5248.7,5247.1
5828.6,6002.6
6779.1,6984.1
6621.7,6668.4
6368.6,6363.9
5214.6,5210.1
6237.2,6180.0
7063.4,7097.8
5777.1,5654.9
6882.8,6981.7
5776.8,5872.2
6755.7,6749.4
5509.8,5613.2
5648.0,5603.8
4512.9,4524.1
6375.5,6370.6
6527.6,6463.5
5470.1,5524.9
6457.8,6456.3
5308.3,5378.8
5266.9,5298.6
5905.2,5925.3
6942.3,6984.8
5914.5,5868.3
6644.4,6584.7
5767.3,5736.0
5954.6,6018.3
6312.6,6290.0
5584.0,5577.5
6612.9,6654.4
6543.9,6421.0
7040.4,7025.5
6177.3,6164.6
6061.0,6240.9
6060.5,6016.4
6790.8,7080.9
5215.2,5199.7
6073.3,6109.4
6447.7,6436.5
5921.3,5970.1
6889.0,6983.2
6272.3,6251.5
5802.3,5782.7
6271.9,6356.9
5660.4,5517.5
5729.3,5683.5
6754.3,6714.8
5564.3,5600.4
6425.2,6468.2
6814.9,6759.5
6411.1,6451.4
7569.8,7507.2
5170.3,5113.8
6129.1,6185.1
5215.7,5208.5
6675.7,6685.3
7126.6,7096.2
5316.1,5398.4
5202.0,5176.0
6265.2,6225.2
6069.7,6069.6
6565.2,6496.9
6364.3,6362.0
6787.0,6897.6
5684.7,5705.0
6426.3,6575.6
5367.9,5324.5
5601.7,5621.7
7377.3,7333.4
5076.3,5166.9
6462.0,6430.7
5064.9,5080.8
5549.0,5644.6
5638.1,5735.8
5255.8,5322.6
6580.6,6373.4
4941.1,5000.1
6742.1,6685.0
6504.1,6602.4
5531.7,5521.4
5464.0,5502.9
6693.6,6523.8
5686.3,5600.4
6456.7,6501.2
5662.9,5732.3
7445.4,7524.9
7029.4,7137.3
6341.3,6397.9
6520.6,6525.3
5339.5,5336.4
5476.8,5486.2
7058.5,7093.2
6350.8,6312.5
5673.9,5701.7
6961.3,6884.7
5230.0,5298.5
5207.2,5224.3
6762.4,6643.9
6299.7,6230.2
6503.4,6534.5
5884.8,5861.1
7132.9,7126.0
5740.4,5768.4
6270.2,6168.1
6320.4,6333.9
5281.4,5171.5
5037.0,4960.2
5319.3,5280.0
7015.7,6943.9
5311.8,5270.4
5859.9,5973.8
6493.4,6473.7
4839.8,4777.0
5514.9,5345.5
5813.7,5755.3
6575.1,6578.8
5660.6,5687.1
5040.6,5016.0
6623.6,6614.6
6602.6,6531.6
5888.1,5932.5
5763.2,5762.2
5837.4,5903.9
5979.7,5846.6
5856.9,6022.9
5634.5,5734.6
5687.5,5774.2
6811.3,6729.9
7125.1,6953.9
5577.3,5535.9
6963.1,6981.1
5817.1,5841.6
5820.9,5874.0
6872.5,6768.3
4970.4,4970.4
5829.4,5843.0
6557.3,6537.0
7079.7,7023.4
6239.7,6222.0
5631.5,5442.6
6071.0,5953.8
6734.8,6693.0
5367.4,5383.4
6569.2,6524.1
6545.8,6494.7
5994.0,6086.0
6562.3,6654.6
6172.5,6193.9
5228.9,5197.4
6682.5,6538.4
6072.0,6087.3
6802.9,6832.1
6150.1,6127.1
5632.0,5695.4
6407.2,6381.4
5560.7,5317.1
5984.9,6095.1
5432.8,5564.4
6953.0,7093.6
5297.1,5328.3
6142.7,6116.6
4658.2,4666.9
6145.6,6130.4
5900.0,5955.2
5912.9,5906.6
5573.9,5638.1
6202.6,6306.2
5088.7,5044.6
5858.8,5813.8
5065.0,5091.2
6537.2,6563.7
5844.1,5967.5
5713.8,6078.3
5822.3,5869.6
5999.2,6000.1
6688.3,6698.9
6105.5,6038.3
5468.3,5452.0
5822.7,5903.4
6687.0,6702.3
5055.2,5106.7
5615.3,5597.2
5500.3,5506.2
5736.8,5841.6
5616.1,5586.5
6850.6,6929.1
6483.2,6584.8
5679.2,5620.1
6884.0,7085.9
6692.4,6739.1
6307.4,6329.1
5648.0,5597.5
6801.5,6862.5
6175.0,6238.6
6655.0,6542.6
6990.5,6914.1
5801.9,5744.9
6267.4,6223.5
5309.1,5410.2
6039.2,6056.3
6308.0,6279.1
7225.4,7082.7
6106.1,6163.7
4869.0,4973.9
6061.5,6036.2
7104.7,7124.3
6825.8,6771.0
6638.9,6468.1
5725.6,5726.2
6433.7,6452.5
6760.1,6725.8
5185.7,5132.3
5433.9,5628.7
5953.9,5976.9
5911.8,5859.1
6765.8,6745.0
5131.0,5235.5
5129.2,5185.0
6690.7,6736.3
6550.9,6709.7
6396.2,6602.4
5199.1,5135.8
6191.8,6283.7
5382.9,5424.5
6729.1,6781.1
5992.0,5881.3
5493.2,5415.3
6837.3,6813.6
6395.9,6246.1
6614.2,6444.8
6965.5,6810.4
6140.9,6158.8
7254.2,7262.5
5095.9,5063.8
5652.4,5675.0
6987.8,7007.8
5327.3,5382.6
6724.0,6646.6
5299.3,5270.6
6418.7,6495.7
7286.9,7271.2
7024.2,7145.4
5464.0,5413.9
6164.1,6137.4
6417.0,6352.4
6317.6,6288.2
6270.7,6231.2
5072.1,4993.3
5665.5,5695.2
6493.1,6527.3
5995.4,6226.1
5110.4,5075.6
5906.2,5983.5
6659.7,6623.6
6378.4,6382.3
6384.0,6334.9
6212.0,6114.8
7069.1,7131.5
7199.0,7283.7
6653.6,6779.6
6330.3,6186.6
6768.0,6735.6
5520.3,5493.1
6741.2,6885.2
6233.3,6259.7
5928.6,5920.0
5388.1,5404.2
5530.4,5590.7
6322.6,6270.6
5548.8,5602.4
5449.6,5637.1
5562.9,5555.9
6298.6,6240.9
5565.1,5542.1
5537.8,5559.5
5979.0,5898.6
4728.7,4756.8
6016.5,5915.8
7019.6,7027.6
5451.3,5469.0
6811.9,6700.9
5921.1,5998.9
6840.0,6834.4
6322.4,6233.6
7072.6,7196.5
7400.7,7387.9
5221.1,5250.9
5985.4,6104.4
6327.7,6189.0
6383.7,6526.6
6520.0,6559.9
7181.3,7088.3
5392.8,5436.1
5050.1,5051.7
5704.0,5720.6
5853.6,5919.4
5754.5,5732.2
4520.2,4546.8
5425.5,5483.9
6471.7,6529.0
6298.1,6470.6
6084.9,6127.0
6809.8,6704.0
6226.3,6365.3
5476.9,5539.0
6850.9,6858.0
7072.6,7052.0
4728.6,4894.1
7085.3,7064.5
5191.6,5166.7
4923.8,4841.3
6122.8,6096.0
5126.5,5051.7
5657.3,5768.6
5595.1,5518.1
6607.3,6710.3
5048.4,5167.3
7095.1,7286.0
7456.3,7372.4
6089.6,6056.4
5357.3,5623.0
6539.7,6529.9
6487.2,6596.9
6787.1,6902.2
6344.1,6186.6
5978.6,5971.9
7003.7,7039.7
7130.7,7188.7
6519.6,6470.0
6255.3,6113.5
6443.1,6528.4
5122.9,5097.4
7005.2,6770.5
5113.2,5054.6
6163.2,6304.0
5701.9,5730.1
5071.7,5064.2
6929.7,6910.5
5353.3,5297.5
4989.7,4813.7
6342.6,6389.6
5512.9,5578.7
5610.0,5681.4
6263.9,6198.9
6994.7,7006.5
5745.8,5770.3
5235.7,5262.5
5696.5,5805.0
5931.8,5869.2
5584.9,5520.3
5297.2,5361.5
6127.8,6120.5
6616.3,6613.7
4881.9,4852.7
5645.9,5647.2
6610.4,6541.1
5709.1,5688.0
6311.3,6375.0
7150.8,7202.6
6895.3,6850.8
6601.5,6617.7
6466.4,6441.5
6130.7,6266.4
5651.5,5621.7
6041.1,5967.6
5312.3,5320.7
4731.1,4705.7
4732.0,4728.1
6286.1,6279.2
5842.5,5761.9
6027.4,6141.6
7048.6,7005.5
6776.8,6771.2
6813.6,6884.7
5682.9,5740.0
6210.1,6235.7
6069.9,6124.6
6531.7,6507.3
5320.3,5261.6
7337.1,7313.4
5435.0,5488.9
6329.9,6360.9
5984.7,6034.2
6771.5,6848.5
6198.3,6168.9
7106.4,7113.3
7131.4,7070.9
6809.9,6781.4
6649.9,6536.8
6505.4,6494.7
6910.8,6917.3
5365.4,5319.5
6247.9,6206.7
5044.9,4995.7
7005.7,6862.2
7215.8,7108.2
6677.9,6721.3
7120.2,7014.1
5402.3,5315.2
6894.8,7070.9
6111.7,6036.4
6987.8,6931.6
7329.0,7256.2
7132.8,6975.3
5494.4,5517.1
4962.4,4994.7
6582.3,6612.9
6454.4,6377.4
5758.3,5779.9
6334.5,6400.3
5402.0,5340.8
5894.6,5831.2
5368.3,5431.2
6119.3,6197.9
6246.4,6305.7
6421.6,6448.4
5257.6,5224.6
4880.0,4919.6
5895.9,5865.9
5985.1,6049.9
4747.5,4726.3
6509.9,6503.8
6609.2,6665.3
6532.2,6533.3
6142.7,6180.0
5063.8,4980.1
6110.9,6169.9
5990.4,6097.0
6710.2,6736.5
5592.9,5516.9
6759.2,6627.1
4369.8,4328.6
7054.1,6975.3
5368.9,5338.8
5378.2,5399.2
6334.1,6359.5
6125.5,5992.8
6381.5,6347.1
6405.2,6396.0
5611.8,5625.6
6012.0,6035.7
6397.9,6459.9
5897.2,5787.2
6491.5,6446.3
7084.6,7074.8
6759.2,6676.5
5583.7,5441.1
5622.5,5623.9
5084.0,5115.5
4917.8,4923.5
5538.5,5463.0
5325.6,5311.4
5801.4,5854.2
6293.3,6232.0
6544.8,6476.5
6402.6,6335.6
6627.5,6618.7
6397.9,6415.5
6928.7,6989.3
5768.0,5836.9
4788.4,4795.9
5407.8,5572.1
5565.0,5746.8
5301.1,5324.4
5644.6,5602.6
6692.5,6712.1
5307.0,5262.5
6517.2,6425.4
6937.1,6948.6
5621.4,5541.8
7132.7,7182.4
5014.3,5094.4
6206.5,6092.5
6568.7,6591.4
6741.6,6762.0
5527.4,5585.3
5317.9,5337.5
6747.5,6636.3
6504.9,6471.9
5459.6,5542.8
5802.4,5786.4
6398.9,6487.5
6300.2,6302.8
7220.2,7145.4
5150.4,5118.6
5545.0,5576.4
6131.5,6020.8
6000.9,6003.6
5346.2,5487.3
6583.0,6194.4
6482.9,6533.1
5823.6,5874.6
5920.6,5821.9
5530.9,5599.4
6677.7,6638.1
6061.6,6135.2
7005.9,7086.2
5382.8,5375.0
6483.2,6403.7
7561.6,7579.3
5320.1,5414.2
4721.8,4783.8
5667.6,5564.7
4757.5,4703.1
5899.2,5881.8
6797.4,6829.8
5663.6,5543.9
5529.8,5471.0
5250.0,5169.8
5715.7,5585.3
6995.5,6790.8
5630.6,5687.8
7023.3,7229.3
6309.2,6464.3
5803.5,5775.6
6580.5,6606.1
5915.0,5887.5
6803.8,6789.3
6005.6,6017.8
5657.8,5728.5
6808.6,6783.6
6542.6,6528.1
5131.7,5074.9
6468.6,6467.8
5522.5,5646.8
6145.8,6145.0
7147.0,6863.4
5509.2,5517.5
6668.8,6667.3
5478.3,5532.3
5916.4,5969.8
6656.3,6617.0
5457.0,5397.1
7007.3,6933.2
5771.9,5727.6
4815.0,4887.6
6814.7,6821.9
7227.3,7260.2
5566.1,5575.4
5864.6,5899.3
7189.7,7082.7
5910.7,5841.6
5585.1,5631.4
5324.3,5349.0
6825.9,6885.7
5300.9,5267.4
6269.0,6278.6
4838.1,4868.4
6499.2,6452.2
4691.3,4703.6
5848.8,5946.2
7354.0,7341.0
6931.7,7080.9
6340.4,6306.3
4965.5,4972.6
4409.4,4356.0
5901.6,5942.9
6064.8,6103.4
6956.2,6797.9
6049.6,6109.4
6807.3,6949.7
5523.1,5482.2
5434.8,5336.6
5418.9,5438.0
6616.9,6541.3
5785.1,5937.2
4837.4,4864.8
5471.0,5518.0
5194.8,5204.9
5512.6,5606.1
5911.4,5960.9
5987.4,6002.2
5080.2,5170.0
7150.8,7182.8
4869.6,4853.6
5167.9,5113.8
6131.8,6030.0
6429.9,6451.0
5558.4,5569.6
6383.3,6406.0
6503.8,6446.2
5632.6,5664.8
5544.4,5523.3
6040.4,6041.3
5742.5,5727.6
6513.3,6545.8
5929.9,5980.5
6195.2,6144.3
6147.2,6161.7
7177.9,7064.4
5408.2,5309.2
4628.9,4670.9
5651.6,5730.0
6924.4,6965.8
7155.3,6992.6
6811.5,6820.1
5287.9,5295.0
6093.7,6174.4
4881.1,4883.1
6867.6,6811.9
6450.4,6429.5
5012.4,4974.8
6537.3,6577.1
6576.2,6469.8
5956.1,5617.3
5355.5,5407.7
6965.7,6954.9
6381.1,6341.4
6470.2,6392.6
6953.2,6886.5
6359.1,6401.4
5697.3,5650.0
5939.0,5954.4
7214.3,7199.9
6586.5,6632.1
6016.5,6025.7
6249.4,6238.6
6709.2,6713.1
6309.5,6358.1
6412.0,6483.1
6893.5,6878.4
5743.9,5879.3
6182.7,6142.9
6121.4,6094.9
6323.5,6219.1
6608.7,6603.0
5677.6,5741.8
6574.3,6557.3
4791.9,4864.8
6386.3,6414.7
6164.7,6215.8
6281.7,6226.9
5233.1,5154.9
6809.5,6923.6
6224.5,6094.2
6905.4,6819.7
6400.4,6214.6
5042.3,5002.7
6523.4,6500.9
4806.9,4834.1
5779.1,5768.1
5059.6,5025.0
5949.8,5900.0
6019.4,5996.2
5405.9,5436.3
5264.0,5274.4
6069.5,6261.1
6760.1,6682.3
5022.9,4988.7
6395.7,6559.9
5958.5,6076.0
6229.1,6177.3
5005.8,4981.3
6453.5,6486.9
5625.7,5855.4
7128.2,7225.4
6258.8,6356.0
6709.6,6696.4
6306.9,6353.5
5786.0,5891.6
6040.2,6138.3
6679.2,6653.5
5975.1,6065.2
5066.8,5059.8
6427.9,6373.4
6830.0,6834.4
7190.5,6977.1
5035.5,5085.8
5148.2,5126.3
5074.0,5125.0
6492.9,6759.5
6673.5,6675.3
5933.7,5978.1
6442.3,6468.5
5215.4,5201.1
6076.1,6051.7
5437.6,5425.2
6763.3,6787.3
4586.3,4582.1
6628.6,6579.9
6304.4,6186.6
5658.2,5778.2
5316.2,5329.2
5550.3,5539.9
6031.6,6013.4
6097.6,6142.1
4278.5,4279.1
6416.1,6482.0
6406.7,6348.2
7053.4,6977.2
6068.3,6050.7
6210.3,6253.6
6215.5,6296.7
6778.5,6820.4
6559.2,6539.1
6485.3,6306.7
6172.8,6208.2
6346.3,6333.5
5958.6,5994.5
6622.9,6631.4
6648.6,6759.1
5382.6,5331.5
6238.3,6207.4
6212.0,6293.1
6604.5,6637.8
6389.3,6435.6
7016.8,7007.6
4809.9,4839.1
7037.2,6983.9
5078.3,5060.6
5839.3,5808.2
5892.0,5893.4
4711.0,4717.0
6298.3,6246.1
5156.7,5292.8
7076.4,7023.2
5414.2,5439.1
5895.0,5861.2
5001.8,4984.7
6421.6,6395.7
6760.8,6673.1
6472.0,6512.3
6010.9,6001.2
6358.6,6326.6
5494.5,5487.2
5607.0,5470.7
5701.7,5697.4
4818.5,4891.9
4672.6,4707.4
5864.0,5844.5
5705.6,5716.0
6124.9,6201.4
6136.9,6123.8
6478.6,6437.5
5603.2,5746.1
6395.9,6396.0
5049.3,5085.6
6826.9,6844.3
6660.4,6656.9
5614.5,5619.0
6242.7,6116.7
6777.4,6769.2
5782.7,5739.0
6953.4,6994.1
6347.4,6323.9
6518.9,6503.0
6912.0,6870.1
6349.2,6354.1
7071.9,7019.6
7189.9,7385.7
5603.5,5486.8
6447.5,6442.6
7359.4,7494.5
6722.7,6749.4
6292.9,6287.4
6997.3,7040.8
4707.3,4713.5
5525.1,5495.4
6392.6,6296.6
4769.7,4786.6
5441.3,5416.7
6132.5,6137.4
6857.5,6924.8
5750.9,5765.1
6208.9,6303.4
5568.4,5365.7
5017.1,5044.4
7024.2,7117.3
6310.3,6297.6
5126.5,5108.5
6265.2,6261.8
5648.8,5625.2
6900.3,6817.1
6930.0,6934.5
5750.7,5690.1
6208.0,6177.3
5297.8,5270.2
6450.8,6425.2
4863.0,4868.4
5603.6,5563.8
6837.6,6937.3
6161.1,6258.8
6725.1,6751.5
6404.8,6236.0
4712.6,4760.6
5095.8,5120.5
6485.2,6446.2
6160.1,6139.6
5911.3,5786.2
6990.0,6949.3
5469.3,5519.1
7427.6,7317.8
5526.4,5491.9
4659.7,4619.5
6218.8,6315.65
5855.5,5792.4
6603.2,6579.1
6873.1,6774.4
5125.9,5170.7
6844.3,6800.2
6388.8,6429.3
6040.0,6026.5
5776.7,5816.6
5251.0,5220.4
6020.3,6069.8
5860.8,5818.8
5539.1,5486.1
6859.0,6970.0
5666.0,5910.7
5110.5,5199.2
6937.0,6788.7
5003.1,5068.4
5212.6,5188.0
5063.7,5045.9
4765.1,4757.6
5778.7,5912.7
5691.6,5711.0
5896.2,5988.2
5186.6,5136.1
6570.6,6505.6
5087.8,5190.6
4808.5,4802.5
7079.2,7236.7
4976.4,4972.1
6158.9,6159.2
6291.2,6333.1
6351.0,6403.0
5356.4,5271.3
6850.6,6866.1
6628.2,6540.8
6498.9,6550.6
7099.7,7069.0
6389.9,6432.8
5066.8,5068.200000000001
6734.5,6617.0
7049.1,6965.3
5602.4,5534.9
5584.0,5627.8
5967.5,6002.0
4906.4,4909.7
6297.0,6470.6
6203.0,6161.7
5853.4,5972.1
5663.5,5734.0
6851.4,6851.0
6624.2,6479.7
6474.3,6478.7
5802.4,5812.5
5338.3,5395.8
5037.4,5037.8
7097.0,7312.3
4975.8,5038.1
6975.0,7093.6
7331.9,7055.8
6891.1,6765.2
4865.1,4873.6
6171.0,6078.4
5081.5,5027.0
