Scenario,Model,MAE,RMSE,R²
Scenario 1,catboost,41.41800345378647,54.010766952761195,0.992897571058507
Scenario 1,lightgbm,39.17649976474701,51.74915601702426,0.9934799226008882
Scenario 1,random_forest,44.272404887986234,57.19334206571707,0.9920358916674621
Scenario 1,xgboost,44.70122277104041,57.88001265124736,0.9918435074561897
Scenario 2,catboost,41.41800345378647,54.010766952761195,0.992897571058507
Scenario 2,lightgbm,39.17649976474701,51.74915601702426,0.9934799226008882
Scenario 2,random_forest,44.272404887986234,57.19334206571707,0.9920358916674621
Scenario 2,xgboost,44.70122277104041,57.88001265124736,0.9918435074561897
Scenario 3,catboost,34.34817363656098,44.64870077738944,0.99514640135482
Scenario 3,lightgbm,22.717095929475963,30.706128367989677,0.9977043993919474
Scenario 3,random_forest,39.92890334155507,52.12348003458235,0.9933852563767095
Scenario 3,xgboost,40.6456417627755,52.46251135429736,0.993298926812925
