Actual,Predicted
6494.9,6527.961
6278.5,6281.8584
5668.0,5722.3125
6371.6,6343.129
6682.4,6708.8813
6337.5,6293.498
6179.6,6205.4287
5212.8,5229.5723
4425.1,4506.4536
6134.5,6128.663
6924.7,6911.874
6780.2,6729.277
6499.2,6363.1245
6987.2,7037.4697
6982.7,6913.7275
6390.3,6357.2065
5820.2,5795.5396
6916.8,6894.3306
6827.7,6796.4214
6614.1,6555.281
6822.4,6856.273
5790.4,5724.6353
6221.3,6321.242
4955.4,4924.804
5665.5,5669.752
6587.1,6527.961
5995.2,6002.869
5593.5,5531.1616
6787.2,6848.77
6054.1,6128.663
6968.0,6956.25
4820.1,4773.8833
6156.1,6194.2275
6717.6,6767.651
6551.5,6619.882
4723.3,4770.0293
6111.2,6202.3906
6722.7,6775.814
6796.7,6796.4214
6978.8,6913.7275
5234.8,5236.9785
5823.9,5870.252
6217.5,6163.007
6250.9,6331.48
6585.9,6630.672
6624.7,6532.263
4936.5,4954.4204
5890.0,5873.619
4661.9,4596.1475
4873.2,4838.4175
5385.5,5415.449
6719.2,6729.489
5957.8,5873.619
5116.1,5179.0854
6129.8,6128.663
5091.8,5169.297
5008.9,5043.993
6610.3,6627.634
5965.7,5969.6846
6398.9,6459.3994
6668.9,6703.549
5357.0,5243.2197
5640.8,5548.479
5705.1,5707.8804
6557.9,6527.961
6622.1,6648.637
5272.8,5342.961
6784.6,6775.814
5629.9,5531.1616
6577.4,6624.184
5987.1,5865.456
6878.7,6861.379
5025.3,4962.5234
5090.3,5034.672
5752.5,5795.5396
5735.4,5737.9624
6686.9,6681.6787
6697.2,6708.8813
5969.9,6083.8296
5963.8,6132.202
5799.1,5786.904
5615.5,5634.6826
5970.9,5873.619
6309.8,6334.793
6470.5,6437.1064
6524.3,6370.9565
6530.5,6527.961
6568.4,6648.637
5886.5,5873.619
5248.0,5190.3457
5264.4,5236.9785
4849.3,4824.766
6610.1,6647.2017
5527.9,5440.483
4871.1,4896.782
5366.5,5413.812
6221.5,6325.562
5941.7,5875.7017
6304.5,6337.211
5768.3,5724.6353
5430.6,5392.763
6096.4,6117.014
6239.2,6163.007
6002.8,5971.767
6509.6,6527.961
5447.6,5423.728
5703.9,5583.5483
5912.0,5958.0356
5255.3,5236.9785
5496.8,5440.483
6508.3,6520.6143
5860.7,5853.3345
7090.5,6981.618
7036.3,7076.008
5587.9,5556.4897
5402.9,5423.728
6662.1,6719.4424
6819.2,6796.4214
5079.2,5081.379
5135.3,5169.3057
5464.4,5424.1934
7010.2,6973.9185
5352.8,5343.875
5570.8,5540.2
5093.4,5104.334
6925.7,6866.3135
5735.3,5781.454
5572.6,5647.385
6452.9,6462.2793
6896.7,6894.3306
5492.4,5539.735
7218.5,7148.5684
7015.6,6956.25
5751.4,5737.9624
6548.5,6527.961
5670.3,5685.46
7004.9,7008.566
5736.1,5724.6353
6174.4,6260.5293
6041.5,6002.869
5358.6,5243.2197
5279.4,5236.9785
6391.4,6425.4575
6897.3,6921.2305
5632.7,5548.479
5608.6,5548.479
5860.2,5861.97
5770.6,5724.6353
6823.8,6848.77
6669.8,6631.936
6603.3,6627.634
6575.2,6560.6133
6979.0,6956.25
6104.0,6089.2793
6594.2,6532.263
5981.4,5969.6846
6576.3,6527.961
6707.6,6848.77
4880.5,4919.8936
6565.9,6547.1177
6809.6,6732.527
6954.5,6956.25
6289.7,6270.767
6303.5,6331.48
5219.9,5169.297
5506.1,5529.819
5106.4,5094.5454
6728.5,6708.8813
6385.5,6357.2065
6838.0,6956.25
6620.8,6647.2017
6627.7,6716.4043
6456.9,6350.7617
4973.7,5034.672
6874.7,6913.7275
5070.3,5098.5093
4792.4,4849.7295
6903.6,6866.3135
5491.7,5392.763
6024.0,6089.2793
6754.2,6796.4214
6380.4,6356.6797
6302.7,6326.692
5729.0,5853.3345
5290.5,5331.73
6970.4,6981.618
5798.0,5877.158
5330.4,5347.01
6457.6,6437.1064
5369.1,5343.875
6039.5,5969.6846
5133.7,5179.0854
5093.5,5104.334
5218.3,5225.7183
5054.3,5081.379
7171.2,7094.076
5393.6,5413.812
6865.3,6861.7227
5514.8,5546.0674
5929.7,5969.6846
5390.1,5409.958
6925.7,6913.7275
5566.1,5561.181
5665.7,5723.877
5346.3,5345.3726
6443.0,6445.8423
6846.7,6866.3135
5058.1,5043.993
5540.8,5529.819
5665.8,5661.3975
6353.0,6337.211
6773.1,6805.802
5940.4,5969.6846
6685.5,6681.6787
6531.6,6461.811
6137.7,6117.014
6194.6,6138.901
6608.0,6555.281
5412.6,5420.3394
6383.6,6397.1616
