iter	RMSE
0	552.2319479
1	502.076932
2	456.0168608
3	414.059326
4	376.3795957
5	343.1467429
6	312.0818381
7	284.2544106
8	259.4131266
9	236.5641921
10	216.3904427
11	198.3602064
12	181.7063675
13	166.8162296
14	153.2626829
15	141.3773253
16	130.7157422
17	121.2928784
18	112.8918364
19	105.4400594
20	98.77247027
21	92.82960256
22	87.65570993
23	83.0216774
24	78.89255201
25	75.20662202
26	71.91626413
27	69.04002967
28	66.3890939
29	64.14638662
30	62.09922478
31	60.33018168
32	58.92634027
33	57.54558367
34	56.45867539
35	55.41172278
36	54.44471148
37	53.62951565
38	52.836364
39	52.29203808
40	51.7207293
41	51.25845985
42	50.68183156
43	50.26258318
44	49.85047309
45	49.50299046
46	49.18673565
47	48.87337736
48	48.54369857
49	48.20913075
50	47.95490675
51	47.70378081
52	47.4758813
53	47.2495518
54	46.97233507
55	46.79131613
56	46.54121954
57	46.34131062
58	46.13976757
59	45.88370683
60	45.68832433
61	45.4568868
62	45.23829824
63	45.06386687
64	44.83665281
65	44.71305889
66	44.57350797
67	44.44246832
68	44.17100665
69	44.03910609
70	43.93266627
71	43.80668295
72	43.65374282
73	43.56959992
74	43.43586738
75	43.32924683
76	43.25657173
77	43.04580812
78	42.87715956
79	42.70377762
80	42.58157469
81	42.42410223
82	42.32057985
83	42.15723569
84	41.99387369
85	41.84184996
86	41.76399016
87	41.6659843
88	41.49939441
89	41.38076025
90	41.29360461
91	41.18047653
92	41.11717635
93	41.05741885
94	40.9627329
95	40.84422002
96	40.78515917
97	40.69720052
98	40.57248071
99	40.50627865
